"Symbol: DBC",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2007-06-01,22.4799,22.7983,22.4534,22.7276,0,333015,
2007-06-04,22.7806,22.9929,22.7718,22.931,0.20340000000000202,461585,
2007-06-05,22.7806,22.9752,22.7629,22.8425,-0.0884999999999998,367505,
2007-06-06,22.8602,22.8956,22.648,22.8337,-0.008800000000000807,235429,
2007-06-07,22.7276,23.0548,22.7276,22.9486,0.11489999999999867,329963,
2007-06-08,22.6922,22.7629,22.4534,22.5418,-0.4068000000000005,1028791,
2007-06-11,22.7629,23.0194,22.6037,22.9752,0.43340000000000245,156161,
2007-06-12,22.8514,22.9221,22.7541,22.9133,-0.0619000000000014,140669,
2007-06-13,22.7364,23.2493,22.7187,23.2051,0.29180000000000206,446660,
2007-06-14,23.3554,23.5146,23.2493,23.4262,0.22109999999999985,3031860,
2007-06-15,23.382,23.5677,23.3377,23.5677,0.14149999999999707,363547,
2007-06-18,23.6384,23.6384,23.435,23.5677,0,293551,
2007-06-19,23.5235,23.6031,23.2582,23.3377,-0.22999999999999687,392835,
2007-06-20,23.2758,23.3643,23.152,23.3643,0.026599999999998403,279982,
2007-06-21,23.4085,23.4527,23.0548,23.2582,-0.10610000000000142,269239,
2007-06-22,23.2228,23.2758,22.9929,23.2051,-0.05309999999999704,885631,
2007-06-25,22.9221,23.1609,22.7983,23.1167,-0.08840000000000003,449260,
2007-06-26,22.9575,22.9929,22.7452,22.8514,-0.26529999999999987,320011,
2007-06-27,22.8248,22.9398,22.6303,22.816,-0.03540000000000276,247981,
2007-06-28,22.8602,22.8779,22.6922,22.7452,-0.07079999999999842,317412,
2007-06-29,22.7718,23.0459,22.6833,22.7276,-0.017600000000001614,291855,
2007-07-02,23.0371,23.0371,22.6037,22.869,0.14140000000000086,916051,
2007-07-03,23.0282,23.0282,22.8248,22.8956,0.026600000000001955,209647,
2007-07-05,23.0105,23.1255,22.8602,23.1078,0.21219999999999928,283262,
2007-07-06,23.2493,23.3024,23.0901,23.3024,0.19459999999999766,375985,
2007-07-09,23.2405,23.3201,23.152,23.2493,-0.05309999999999704,176402,
2007-07-10,23.1697,23.4527,23.1609,23.4173,0.16799999999999926,258271,
2007-07-11,23.2935,23.55,23.2847,23.4704,0.05310000000000059,219824,
2007-07-12,23.55,23.6207,23.3289,23.5323,0.061899999999997846,319334,
2007-07-13,23.5323,23.5677,23.4173,23.5677,0.03539999999999921,190198,
2007-07-16,23.4527,23.4527,23.0724,23.152,-0.4156999999999975,358233,
2007-07-17,23.2051,23.2847,22.8867,23.0105,-0.14150000000000063,478549,
2007-07-18,23.0194,23.2935,22.9663,23.2758,0.26529999999999987,260759,
2007-07-19,23.2847,23.4262,23.2405,23.3554,0.07959999999999923,121672,
2007-07-20,23.3466,23.4439,23.2493,23.3466,-0.008800000000000807,285184,
2007-07-23,23.2316,23.2405,23.0459,23.2405,-0.10609999999999786,249111,
2007-07-24,23.099,23.2405,22.9929,23.0636,-0.17689999999999984,214283,
2007-07-25,23.1167,23.267,22.8779,23.267,0.20339999999999847,310061,
2007-07-26,23.2758,23.3466,22.8337,23.0194,-0.2475999999999985,254539,
2007-07-27,23.0194,23.2493,22.9398,23.2405,0.22109999999999985,320125,
2007-07-30,23.1255,23.1963,22.8779,22.9752,-0.26529999999999987,205689,
2007-07-31,23.1786,23.3908,23.0724,23.1609,0.18570000000000064,439423,
2007-08-01,23.1609,23.267,22.8337,23.1255,-0.03540000000000276,525815,
2007-08-02,23.1255,23.2582,23.0282,23.1609,0.03540000000000276,213152,
2007-08-03,23.1697,23.1697,22.9044,22.9044,-0.2565000000000026,159893,
2007-08-06,22.7099,22.7541,22.3561,22.5861,-0.3183000000000007,302937,
2007-08-07,22.4623,22.7629,22.4269,22.7099,0.1238000000000028,205237,
2007-08-08,22.6391,22.8602,22.5861,22.6745,-0.03540000000000276,196756,
2007-08-09,22.5242,22.7718,22.4003,22.4976,-0.17689999999999984,325101,
2007-08-10,22.2146,22.5861,22.0908,22.5772,0.07960000000000278,522875,
2007-08-13,22.6922,22.7276,22.3561,22.418,-0.159200000000002,183300,
2007-08-14,22.9929,23.2847,22.3296,22.4888,0.07080000000000197,192007,
2007-08-15,22.6214,22.8248,22.4623,22.6568,0.16799999999999926,354049,
2007-08-16,22.1704,22.2677,21.7813,22.2677,-0.3890999999999991,515525,
2007-08-17,21.3303,22.418,20.8881,22.25,-0.01770000000000138,424044,
2007-08-20,22.1262,22.3208,22.0555,22.3119,0.0619000000000014,305199,
2007-08-21,22.2412,22.4711,22.135,22.2765,-0.03540000000000276,357102,
2007-08-22,22.2854,22.3915,22.1616,22.3296,0.05310000000000059,215075,
2007-08-23,22.5507,22.5949,22.2677,22.4003,0.0707000000000022,318430,
2007-08-24,22.4446,22.6656,22.3827,22.6656,0.26529999999999987,198001,
2007-08-27,22.3915,22.7187,22.3296,22.6922,0.026599999999998403,115566,
2007-08-28,22.6568,22.6568,22.3384,22.4534,-0.23880000000000123,126874,
2007-08-29,22.4534,22.6745,22.4534,22.6656,0.21220000000000283,299319,
2007-08-30,23.3377,23.3377,22.4976,22.7099,0.044299999999999784,206368,
2007-08-31,22.9929,22.9929,22.5949,22.7187,0.008799999999997254,138521,
2007-09-04,22.8071,23.0724,22.7187,22.9752,0.2565000000000026,345115,
2007-09-05,22.9752,23.0813,22.816,23.0194,0.04420000000000002,251147,
2007-09-06,22.9133,23.0371,22.816,22.931,-0.08840000000000003,242553,
2007-09-07,22.984,23.0901,22.8867,23.0813,0.15029999999999788,168713,
2007-09-10,23.0105,23.2758,22.8248,23.2405,0.159200000000002,174366,
2007-09-11,23.1344,23.3112,22.9752,23.2935,0.053000000000000824,132528,
2007-09-12,23.2847,23.5765,23.2316,23.5411,0.2475999999999985,234751,
2007-09-13,23.4792,23.5942,23.2758,23.3643,-0.17680000000000007,529885,
2007-09-14,23.3377,23.5235,23.2847,23.382,0.01770000000000138,216997,
2007-09-17,23.4969,23.6561,23.4085,23.6561,0.2740999999999971,140556,
2007-09-18,23.4792,23.7888,23.4173,23.7445,0.08840000000000003,259628,
2007-09-19,23.8241,23.9479,23.7003,23.9479,0.20340000000000202,275459,
2007-09-20,24.0098,24.3194,23.9391,24.3194,0.37150000000000105,587216,
2007-09-21,24.399,24.4874,24.2398,24.4874,0.16799999999999926,288915,
2007-09-24,24.4343,24.5758,24.3282,24.4432,-0.04420000000000002,205576,
2007-09-25,24.1513,24.3636,24.1248,24.2663,-0.17689999999999984,200714,
2007-09-26,24.3547,24.4078,24.0275,24.3017,0.03539999999999921,245945,
2007-09-27,24.9296,24.9384,24.4432,24.9384,0.6367000000000012,281791,
2007-09-28,24.9826,25.0003,24.6643,24.8588,-0.07960000000000278,528529,
2007-10-01,24.5758,25.637,24.4432,24.6024,-0.2563999999999993,222199,
2007-10-02,24.3724,24.4343,24.001,24.1071,-0.4953000000000003,246850,
2007-10-03,24.452,24.452,23.9745,24.1337,0.026600000000001955,180246,
2007-10-04,24.116,24.4785,23.9656,24.4697,0.3359999999999985,309609,
2007-10-05,24.3547,24.5493,24.2752,24.5405,0.07080000000000197,189745,
2007-10-08,25.1949,25.1949,23.8772,24.0275,-0.5130000000000017,218355,
2007-10-09,23.9303,24.3371,23.9303,24.1956,0.16809999999999903,274328,
2007-10-10,24.3282,24.4874,24.1867,24.4785,0.2829000000000015,347378,
2007-10-11,25.354,25.354,24.3547,24.7527,0.27420000000000044,231019,
2007-10-12,24.7615,24.9119,24.6643,24.8677,0.11499999999999844,186466,
2007-10-15,25.0711,25.2921,24.9826,25.2921,0.4244000000000021,177194,
2007-10-16,25.0976,25.3275,25.0534,25.3187,0.026599999999998403,328379,
2007-10-17,25.3629,25.3629,25.0976,25.186,-0.13269999999999982,287332,
2007-10-18,25.2833,25.6724,25.2833,25.637,0.4510000000000005,381640,
2007-10-19,25.5928,25.6547,25.4425,25.5663,-0.0707000000000022,258497,
2007-10-22,25.3364,25.5751,25.1772,25.4955,-0.07079999999999842,332112,
2007-10-23,25.5928,25.6105,25.1949,25.3187,-0.17680000000000007,1245672,
2007-10-24,25.2037,25.5221,25.2037,25.4071,0.08840000000000003,240744,
2007-10-25,25.6017,25.9996,25.5398,25.9996,0.5925000000000011,375986,
2007-10-26,26.2649,26.4153,26.1411,26.3976,0.3979999999999997,716578,
2007-10-29,26.5302,26.8309,26.4683,26.8309,0.43329999999999913,492683,
2007-10-30,26.5302,26.5656,26.15,26.2295,-0.6013999999999982,320012,
2007-10-31,26.4329,26.9724,26.3357,26.9724,0.7428999999999988,454575,
2007-11-01,26.7778,26.7778,26.3887,26.6275,-0.3448999999999991,427776,
2007-11-02,26.8309,27.2023,26.7071,27.2023,0.5747999999999998,231924,
2007-11-05,27.6356,27.6533,26.654,27.0254,-0.17689999999999984,416921,
2007-11-06,27.8744,27.8744,27.2112,27.7329,0.7074999999999996,506027,
2007-11-07,29.1832,29.1832,27.2377,27.5914,-0.14150000000000063,576814,
2007-11-08,27.9805,27.9805,27.3615,27.5207,-0.07069999999999865,533391,
2007-11-09,27.4146,27.7152,26.9724,27.5118,-0.008900000000000574,419748,
2007-11-12,26.9724,27.335,26.7336,26.9105,-0.6013000000000019,1109413,
2007-11-13,26.9105,26.9282,26.2738,26.3976,-0.5128999999999984,3412029,
2007-11-14,26.4772,27.052,26.4772,26.9901,0.5925000000000011,294343,
2007-11-15,26.8574,26.8574,26.5037,26.7248,-0.2653000000000034,384693,
2007-11-16,27.105,27.105,26.7159,26.8132,0.08840000000000003,202976,
2007-11-19,26.7955,27.052,26.7159,27.0166,0.20340000000000202,596489,
2007-11-20,27.2554,27.7152,27.1316,27.6887,0.6721000000000004,643417,
2007-11-21,27.6356,27.7418,27.2377,27.7241,0.03539999999999921,830448,
2007-11-23,27.9275,28.0071,27.5384,27.9805,0.2563999999999993,564715,
2007-11-26,27.9009,28.1043,27.6356,27.6356,-0.3448999999999991,453106,
2007-11-27,28.0336,28.0336,27.2731,27.4146,-0.22100000000000009,418955,
2007-11-28,27.388,27.8833,26.8132,27.0785,-0.33610000000000184,866408,
2007-11-29,27.1846,27.3173,26.9724,27.1404,0.0619000000000014,221294,
2007-11-30,26.7513,27.1669,26.6982,26.8044,-0.3359999999999985,398262,
2007-12-03,26.8663,27.0254,26.5479,26.9989,0.1944999999999979,362756,
2007-12-04,26.9635,27.1227,26.8309,27.1227,0.12379999999999924,558721,
2007-12-05,27.2908,27.3615,26.8044,26.9193,-0.20339999999999847,494945,
2007-12-06,26.7159,27.4057,26.7159,27.4057,0.4863999999999997,331546,
2007-12-07,28.0336,28.0336,26.9812,27.3173,-0.08840000000000003,453444,
2007-12-10,27.4411,27.5826,27.1404,27.2996,-0.01769999999999783,609945,
2007-12-11,27.4146,27.6622,27.3261,27.5384,0.23879999999999768,311078,
2007-12-12,27.8567,28.4581,27.6356,28.2901,0.7516999999999996,502633,
2007-12-13,28.3608,28.3608,27.8302,27.9894,-0.3006999999999991,310852,
2007-12-14,27.9186,27.9452,27.671,27.7948,-0.19460000000000122,332790,
2007-12-17,28.5923,28.5923,27.4051,27.6589,-0.13589999999999947,324301,
2007-12-18,27.7223,27.9851,27.2873,27.5411,-0.11779999999999902,343280,
2007-12-19,27.6136,27.9489,27.5683,27.8039,0.2627999999999986,297488,
2007-12-20,27.7314,27.822,27.5592,27.6861,-0.11779999999999902,369542,
2007-12-21,27.7223,28.0848,27.6951,28.0123,0.32620000000000005,309295,
2007-12-24,27.387,28.2208,27.242,28.2208,0.2085000000000008,520824,
2007-12-26,28.3205,28.6014,28.2298,28.5561,0.33530000000000015,207998,
